USER_ID,ITEM_ID,EVENT_TYPE,TIMESTAMP
812353,4429430,view,1603045800
239494,8391177,click,1611945000
774544,5758296,view,1636914600
255308,1784357,view,1548441000
348298,3921147,view,1561573800
884290,1066873,view,1554661800
627151,3306631,click,1576261800
608297,9521489,view,1565634600
702155,5958479,click,1579631400
532470,8645618,click,1607797800
752403,6591984,view,1635532200
303548,7372098,click,1552069800
553297,5296176,click,1563301800
416967,1564654,view,1588012200
653452,3099226,view,1610562600
745744,2523593,click,1602873000
211849,7944412,click,1572460200
228635,7944412,click,1584642600
773529,4580377,click,1546713000
314212,5151556,click,1598639400
541322,2012041,click,1601317800
692012,1564654,view,1634149800
545814,2523593,click,1579977000
991038,6804081,click,1601404200
543658,2903058,view,1560277800
764917,1307091,click,1602613800
427549,9947028,click,1575743400
471977,1784357,click,1640111400
294671,9521489,click,1556735400
745277,2002269,click,1625250600
933489,1307091,view,1575829800
165736,8645618,view,1570645800
762591,3921147,click,1583951400
123392,3099226,click,1610217000
340855,6117150,click,1562869800
494752,8227729,click,1584901800
787636,6804081,view,1617561000
969216,5080493,click,1592591400
940000,5296176,view,1639506600
386916,3921147,click,1640802600
187088,5758296,click,1553365800
129444,3099226,view,1549132200
749526,5151556,view,1576348200
800527,5048104,click,1570300200
188083,8645618,click,1592677800
925937,2012041,view,1556908200
815404,2301101,click,1563820200
507011,9521489,click,1567708200
273555,2002269,view,1614623400
571188,8227729,view,1574793000
724018,7705785,click,1555698600
897169,2061734,view,1591468200
986359,2012041,view,1597689000
479452,5151556,view,1589826600
814813,3099226,click,1546540200
709960,5151556,view,1569004200
114761,2903058,click,1568399400
998613,1564654,click,1554575400
782821,7705785,click,1604255400
891947,6591984,view,1573410600
749526,8118336,view,1609957800
429919,6591984,click,1568831400
155687,4580377,click,1620153000
711329,4580377,view,1625596200
676695,2012041,click,1555180200
265579,5048104,view,1614277800
359696,8227729,click,1557167400
642544,6145271,view,1619375400
451807,6328334,click,1633545000
149849,4556099,view,1624300200
789296,1564654,view,1628015400
895238,8102686,click,1570473000
353274,4852289,click,1547058600
608297,5114833,click,1629484200
356730,5151556,view,1578594600
857258,5151556,click,1626719400
617214,8134390,click,1591900200
577925,8391177,view,1631471400
628915,9947028,view,1553711400
226531,4429430,view,1562524200
431622,6117150,click,1619548200
883805,6117150,view,1553365800
401526,2523593,click,1550255400
368048,2301101,view,1600367400
158535,8134390,view,1547404200
235831,2012041,click,1602873000
842204,5958479,view,1552329000
569448,5151556,click,1594578600
624149,4429430,view,1598553000
788730,2903058,view,1635791400
788217,6145271,view,1589481000
294671,2301101,view,1598380200
733760,4852289,click,1639765800
697354,2523593,view,1583778600
615836,6591984,view,1566153000
160276,2523593,view,1558981800
494931,7372098,view,1609353000
834576,7705785,click,1589221800
819771,4580377,view,1580754600
405967,5958479,click,1632508200
624603,3099226,click,1550428200
927373,1307091,view,1637001000
341062,4429430,view,1597343400
246750,4844935,click,1584988200
293280,6328334,view,1560364200
182999,5114833,view,1568485800
353967,2523593,click,1582828200
974690,5656656,click,1638988200
232648,5958479,view,1627410600
905871,2384162,view,1576175400
852103,5958479,view,1574274600
680468,1307091,click,1556044200
624713,1564654,view,1626201000
776841,5958479,view,1565461800
244442,2012041,click,1576953000
181519,1784357,view,1569695400
971729,7372098,click,1555957800
741490,5080493,click,1556994600
379159,3921147,view,1622485800
269495,5114833,click,1567535400
416318,4037297,click,1618943400
996818,4844935,view,1601577000
216792,8227729,click,1624041000
858987,3921147,view,1595183400
958246,2012041,view,1602095400
528684,2061734,click,1637605800
897654,3921147,view,1598725800
520143,5048104,view,1627583400
410816,2012041,click,1605205800
358942,5656656,click,1622745000
494752,6117150,click,1631471400
773529,5958479,click,1588789800
827074,4556099,click,1575397800
727849,8227729,click,1622572200
892183,1307091,view,1574015400
327448,2301101,view,1628274600
752403,1784357,view,1607970600
928411,7944412,view,1592159400
919495,4429430,click,1616178600
419366,9521489,click,1560709800
502686,1564654,click,1586457000
543022,2523593,click,1569954600
827029,1307091,click,1579890600
654113,6328334,view,1629743400
426557,1784357,click,1597084200
762533,4556099,view,1578767400
756295,6591984,click,1617129000
428476,1784357,view,1555612200
434876,6117150,view,1565375400
278724,5514767,view,1608834600
297578,6145271,click,1616783400
173581,8102686,view,1577385000
758535,5151556,view,1605637800
368048,8120403,view,1583001000
533990,8227729,view,1562265000
796038,5958479,view,1597257000
501109,3306631,click,1582137000
506199,4037297,click,1615833000
553222,8120403,view,1574533800
341318,4556099,click,1559068200
328542,7372098,click,1560018600
390539,2384162,click,1572287400
565120,4844935,click,1590949800
784545,7944412,view,1567276200
523233,5758296,view,1629743400
990507,2002269,view,1559327400
812983,2012041,click,1627929000
608478,3099226,click,1566671400
509278,4556099,click,1568485800
269002,8391177,click,1615141800
981009,2301101,view,1603996200
823243,8645618,click,1563647400
198084,7372098,click,1557772200
561639,5656656,view,1637519400
887961,5656656,click,1608834600
137136,5656656,click,1617474600
743133,7944412,view,1595356200
562557,8391177,view,1554921000
276230,8102686,click,1567708200
700368,3921147,click,1589740200
857385,7372098,view,1586716200
678801,2301101,view,1580754600
916887,2012041,view,1573497000
627151,1307091,view,1549305000
549666,2903058,click,1608316200
129254,2903058,view,1580668200
272639,3921147,click,1613932200
764174,5656656,view,1553193000
411062,4037297,click,1564857000
986261,5114833,click,1611167400
783321,5514767,click,1588012200
193284,2061734,click,1580409000
394774,3306631,view,1633631400
968518,2903058,view,1549909800
598569,4037297,view,1596565800
182307,5758296,click,1597775400
369456,6591984,view,1612377000
986980,9947028,view,1583087400
541908,7705785,view,1618079400
599241,2002269,view,1606761000
992431,8120403,click,1630953000
290323,7372098,click,1604601000
834552,1307091,view,1633977000
501109,3099226,click,1562092200
109456,8134390,view,1554489000
818509,5296176,view,1552674600
720254,3921147,view,1571423400
662828,7705785,click,1572633000
364847,7944412,view,1559932200
496875,5151556,click,1605897000
407722,6328334,click,1584469800
738339,2061734,click,1583260200
314471,2903058,view,1614969000
867643,1784357,view,1608143400
721482,9521489,click,1591209000
762793,5656656,click,1592505000
412763,8391177,view,1553452200
906086,5048104,view,1599762600
251112,4844935,click,1599071400
409152,8391177,view,1601663400
270766,8118336,click,1630089000
462270,5514767,click,1610821800
695451,2002269,click,1589481000
478474,8120403,view,1598034600
633961,3306631,view,1619548200
772575,5656656,view,1561055400
670000,6804081,click,1606242600
735596,8134390,click,1628620200
414698,5958479,click,1586889000
508034,5114833,click,1573324200
606701,4844935,view,1637260200
886991,8391177,click,1557685800
516984,4580377,click,1556303400
538878,1307091,click,1574015400
358386,3921147,view,1549132200
581499,8134390,click,1548786600
649915,2523593,click,1608402600
347474,5048104,view,1616610600
791961,2523593,click,1585333800
101408,6328334,view,1589221800
369324,5048104,click,1635705000
837532,4580377,click,1618079400
362676,4580377,view,1629225000
401103,2523593,view,1583087400
494819,1307091,click,1606069800
766456,3921147,view,1576953000
272347,1066873,view,1569349800
510008,7705785,click,1629225000
561167,8391177,click,1613586600
715792,2384162,view,1579545000
712242,8102686,view,1596479400
576141,5656656,view,1558549800
127344,8118336,click,1635791400
829846,3306631,view,1550514600
445061,2523593,view,1601317800
956999,8134390,view,1549132200
645630,6318123,view,1564511400
101165,7944412,click,1631471400
272825,2384162,click,1634063400
755099,8645618,view,1548527400
739743,2002269,click,1596825000
822314,7372098,click,1601577000
679989,3921147,view,1604860200
329095,6591984,view,1599589800
191979,5758296,view,1604687400
317989,7705785,click,1561141800
744906,6328334,view,1607452200
837553,8120403,view,1590258600
449320,5080493,view,1574447400
686093,4429430,view,1600713000
849064,2002269,click,1620325800
914943,6591984,view,1592332200
121848,4852289,view,1622053800
306693,8120403,click,1573410600
376046,5758296,click,1631903400
615836,6591984,click,1601836200
437412,3306631,click,1606242600
590740,1564654,view,1598121000
630517,8391177,click,1548095400
683680,2061734,click,1620325800
901174,2523593,view,1635013800
631437,6318123,view,1562265000
652670,5656656,view,1600540200
432270,6328334,view,1634668200
471499,8120403,click,1613932200
329463,1307091,view,1572028200
244685,8120403,click,1566412200
409681,2523593,view,1630866600
128004,4556099,click,1614277800
806257,6804081,view,1577989800
737834,5758296,click,1583692200
194393,2384162,view,1591641000
348301,3099226,view,1573583400
851088,5048104,click,1597170600
452650,8118336,view,1593282600
621807,9521489,view,1634927400
741926,2061734,click,1630261800
998613,2002269,click,1598121000
941579,5656656,click,1554489000
407129,5296176,view,1612895400
427059,4037297,click,1573151400
583341,5114833,view,1601231400
